lex,sp,gloss,voc_lex
LBC[,verb,clothe,לבשׁ
HN,intj,behold,הֵן
<TH,advb,now,עַתָּה
CLX[,verb,send,שׁלח
JD/,subs,hand,יָד
XJH[,verb,be alive,חיה
<WLM/,subs,eternity,עֹולָם
GRC[,verb,drive out,גרשׁ
CKN[,verb,dwell,שׁכן
KRWB/,subs,cherub,כְּרוּב
LHV/,subs,flame,לַהַט
XRB/,subs,dagger,חֶרֶב
HPK[,verb,turn,הפך
DRK/,subs,way,דֶּרֶךְ
HRH[,verb,be pregnant,הרה
QJN=/,nmpr,Kain,קַיִן
QNH=[,verb,create,קנה
>T==,prep,together with,אֵת
JSP[,verb,add,יסף
>X/,subs,brother,אָח
HBL=/,nmpr,Abel,הֶבֶל
R<H[,verb,pasture,רעה
Y>N/,subs,cattle,צֹאן
QY/,subs,end,קֵץ
MNXH/,subs,present,מִנְחָה
BKR/,subs,first-born,בְּכֹר
XLB=/,subs,fat,חֵלֶב
C<H[,verb,look,שׁעה
XRH[,verb,be hot,חרה
LMH,inrg,why,לָמָה
>M,conj,if,אִם
JVB[,verb,be good,יטב
F>T/,subs,uprising,שְׂאֵת
PTX/,subs,opening,פֶּתַח
XV>T/,subs,sin,חַטָּאת
RBY[,verb,lie down,רבץ
QWM[,verb,arise,קום
HRG[,verb,kill,הרג
DM/,subs,blood,דָּם
Y<Q[,verb,cry,צעק
PYH[,verb,open,פצה
PH/,subs,mouth,פֶּה
KX/,subs,strength,כֹּחַ
NW<[,verb,quiver,נוע
NWD[,verb,waver,נוד
<WN/,subs,sin,עָוֹן
NF>[,verb,lift,נשׂא
STR[,verb,hide,סתר
LKN,advb,therefore,לָכֵן
CB</,subs,seven,שֶׁבַע
NQM[,verb,avenge,נקם
NKH[,verb,strike,נכה
JCB[,verb,sit,ישׁב
NWD/,nmpr,Nod,נֹוד
XNWK/,nmpr,Henoch,חֲנֹוךְ
<JR/,subs,town,עִיר
XNWK=/,nmpr,Enoch,חֲנֹוךְ
<JRD/,nmpr,Irad,עִירָד
MXWJ>L/,nmpr,Mehujael,מְחוּיָאֵל
MXJJ>L/,nmpr,Mehujael,מְחִיּיָאֵל
MTWC>L/,nmpr,Methushael,מְתוּשָׁאֵל
LMK/,nmpr,Lamech,לֶמֶךְ
<DH===/,nmpr,Adah,עָדָה
YLH/,nmpr,Zillah,צִלָּה
JBL=/,nmpr,Jabal,יָבָל
>HL/,subs,tent,אֹהֶל
MQNH/,subs,purchase,מִקְנֶה
JWBL==/,nmpr,Jubal,יוּבָל
TPF[,verb,seize,תפשׂ
KNWR/,subs,cither,כִּנֹּור
<WGB/,subs,flute,עוּגָב
TWBL_QJN/,nmpr,Tubal-Cain,תּוּבַל קַיִן
LVC[,verb,sharpen,לטשׁ
XRC=[,verb,plough,חרשׁ
NXCT/,subs,bronze,נְחֹשֶׁת
BRZL/,subs,iron,בַּרְזֶל
>XWT/,subs,sister,אָחֹות
N<MH/,nmpr,Naamah,נַעֲמָה
>ZN[,verb,listen,אזן
>MRH/,subs,word,אִמְרָה
PY</,subs,bruise,פֶּצַע
JLD/,subs,boy,יֶלֶד
XBWRH/,subs,bruise,חַבּוּרָה
>DM===/,nmpr,Adam,אָדָם
<WD/,subs,duration,עֹוד
CT==/,nmpr,Seth,שֵׁת
>XR=/,adjv,other,אַחֵר
>NWC==/,nmpr,Enosh,אֱנֹושׁ
>Z,advb,then,אָז
XLL[,verb,defile,חלל
ZH,prde,this,זֶה
SPR/,subs,letter,סֵפֶר
CLC/,subs,three,שָׁלֹשׁ
M>H/,subs,hundred,מֵאָה
>XR/,subs,after,אַחַר
CMNH/,subs,eight,שְׁמֹנֶה
BT/,subs,daughter,בַּת
TC</,subs,nine,תֵּשַׁע
XMC/,subs,five,חָמֵשׁ
<FRH/,subs,-teen,עֶשְׂרֵה
QJNN/,nmpr,Kenan,קֵינָן
MHLL>L/,nmpr,Mahalalel,מַהֲלַלְאֵל
<FR=/,subs,ten,עֶשֶׂר
CC/,subs,six,שֵׁשׁ
JRD/,nmpr,Jered,יֶרֶד
MTWCLX/,nmpr,Methuselah,מְתוּשֶׁלַח
NX/,nmpr,Noah,נֹחַ
NXM[,verb,"repent, console",נחם
M<FH/,subs,deed,מַעֲשֶׂה
CM=/,nmpr,Shem,שֵׁם
XM===/,nmpr,Ham,חָם
JPT/,nmpr,Japheth,יֶפֶת
RBB[,verb,be much,רבב
HNH=,prps,they,הֵנָּה
BXR[,verb,examine,בחר
DWN[,verb,<uncertain>,דון
C,conj,<relative>,שַׁ
<FRJM/,subs,twenty,עֶשְׂרִים
NPJLJM/,subs,giants,נְפִילִים
HMH,prps,they,הֵמָּה
GBWR/,subs,vigorous,גִּבֹּור
RB/,adjv,much,רַב
R<H/,subs,evil,רָעָה
JYR/,subs,form,יֵצֶר
MXCBH/,subs,thought,מַחֲשָׁבָה
LB/,subs,heart,לֵב
RQ,advb,only,רַק
<YB[,verb,hurt,עצב
MXH[,verb,wipe,מחה
XN/,subs,grace,חֵן
YDJQ/,adjv,just,צַדִּיק
TMJM/,adjv,complete,תָּמִים
DWR/,subs,generation,דֹּור
CXT[,verb,destroy,שׁחת
XMS/,subs,violence,חָמָס
TBH/,subs,ark,תֵּבָה
GPR/,subs,gopher,גֹּפֶר
QN/,subs,nest,קֵן
KPR[,verb,cover,כפר
BJT/,subs,house,בַּיִת
XWY/,subs,outside,חוּץ
KPR=/,subs,cover,כֹּפֶר
>MH=/,subs,cubit,אַמָּה
>RK=/,subs,length,אֹרֶךְ
RXB=/,subs,breadth,רֹחַב
QWMH/,subs,height,קֹומָה
YHR/,subs,roof,צֹהַר
M<L/,subs,top,מַעַל
YD/,subs,side,צַד
TXTJ/,adjv,lower,תַּחְתִּי
>NJ,prps,i,אֲנִי
MBWL/,subs,deluge,מַבּוּל
GW<[,verb,expire,גוע
BRJT/,subs,covenant,בְּרִית
>SP[,verb,gather,אסף
VHR/,adjv,pure,טָהֹר
JQWM/,subs,substance,יְקוּם
XDC=/,subs,month,חֹדֶשׁ
<FR/,subs,-teen,עָשָׂר
BQ<[,verb,split,בקע
M<JN/,subs,well,מַעְיָן
>RBH=/,subs,hole,אֲרֻבָּה
PTX[,verb,open,פתח
GCM/,subs,rain,גֶּשֶׁם
YPWR/,subs,bird,צִפֹּור
B<D/,subs,distance,בַּעַד
RWM[,verb,be high,רום
GBR[,verb,be superior,גבר
KSH[,verb,cover,כסה
HR/,subs,mountain,הַר
GBH/,adjv,high,גָּבֹהַּ
XRBH/,subs,dry ground,חָרָבָה
C>R[,verb,remain,שׁאר
>K,advb,only,אַךְ
ZKR[,verb,remember,זכר
<BR[,verb,pass,עבר
CKK[,verb,go down,שׁכך
SKR[,verb,stop,סכר
KL>[,verb,restrain,כלא
XSR[,verb,diminish,חסר
QYH=/,subs,end,קָצֶה
>RRV/,nmpr,Ararat,אֲרָרַט
<FJRJ/,adjv,tenth,עֲשִׂירִי
XLWN/,subs,window,חַלֹּון
<RB===/,subs,raven,עֹרֵב
JBC[,verb,be dry,יבשׁ
JWNH/,subs,dove,יֹונָה
QLL[,verb,be slight,קלל
MNWX/,subs,resting place,מָנֹוחַ
KP/,subs,palm,כַּף
RGL/,subs,foot,רֶגֶל
XJL==[,verb,wait,חיל
<T/,subs,time,עֵת
ZJT/,subs,olive,זַיִת
VRP=/,adjv,fresh plucked,טָרָף
JXL[,verb,"wait, to hope",יחל
R>CWN/,adjv,first,רִאשֹׁון
XRB[,verb,be dry,חרב
SWR[,verb,turn aside,סור
MKSH/,subs,covering,מִכְסֶה
DBR[,verb,speak,דבר
MCPXH/,subs,clan,מִשְׁפָּחָה
MZBX/,subs,altar,מִזְבֵּחַ
<LH/,subs,burnt-offering,עֹלָה
RWX[,verb,be spacious,רוח
RJX/,subs,scent,רֵיחַ
NJXX/,subs,smell of appeasement,נִיחֹחַ
N<WRJM/,subs,youth,נְעוּרִים
QYJR/,subs,harvest,קָצִיר
QR/,subs,cold,קֹר
XM/,subs,heat,חֹם
QJY/,subs,summer,קַיִץ
XRP/,subs,autumn,חֹרֶף
MWR>/,subs,fear,מֹורָא
XT/,subs,terror,חַת
DG/,subs,fish,דָּג
DRC[,verb,inquire,דרשׁ
CPK[,verb,pour,שׁפך
>TM,prps,you,אַתֶּם
KRT[,verb,cut,כרת
QCT/,subs,bow,קֶשֶׁת
<NN/,subs,cloud,עָנָן
<NN[,verb,appear,ענן
KN<N/,nmpr,Canaan,כְּנַעַן
NPY[,verb,shatter,נפץ
KRM/,subs,vineyard,כֶּרֶם
CTH[,verb,drink,שׁתה
JJN/,subs,wine,יַיִן
CKR[,verb,be drunk,שׁכר
GLH[,verb,uncover,גלה
<RWH/,subs,nakedness,עֶרְוָה
FMLH/,subs,mantle,שִׂמְלָה
CKM/,subs,shoulder,שְׁכֶם
>XRNJT,advb,backwards,אֲחֹרַנִּית
JQY[,verb,awake,יקץ
QVN=/,adjv,small,קָטָן
<BD/,subs,servant,עֶבֶד
PTH=[,verb,be spacious,פתה
GMR/,nmpr,Gomer,גֹּמֶר
MGWG/,nmpr,Magog,מָגֹוג
MDJ/,nmpr,Media,מָדַי
JWN=/,nmpr,Greece,יָוָן
TBL==/,nmpr,Tubal,תֻּבַל
MCK=/,nmpr,Meshech,מֶשֶׁךְ
TJRS/,nmpr,Tiras,תִּירָס
>CKNZ/,nmpr,Ashkenaz,אַשְׁכֲּנַז
RJPT/,nmpr,Riphath,רִיפַת
TWGRMH/,nmpr,Togarmah,תֹּוגַרְמָה
>LJCH/,nmpr,Elishah,אֱלִישָׁה
TRCJC=/,nmpr,Tarshish,תַּרְשִׁישׁ
KTJ/,adjv,Cypriot,כתי֜
DDNJ=/,adjv,Dodanite,דדני֜
>J/,subs,"coast, island",אִי
GWJ/,subs,people,גֹּוי
LCWN/,subs,tongue,לָשֹׁון
MYRJM/,nmpr,Egypt,מִצְרַיִם
PWV/,nmpr,Put,פּוּט
KWC=/,nmpr,Cush,כּוּשׁ
SB>==/,nmpr,Seba,סְבָא
SBT>/,nmpr,Sabta,סַבְתָּא
R<MH=/,nmpr,Raamah,רַעְמָה
SBTK>/,nmpr,Sabteca,סַבְתְּכָא
CB>/,nmpr,Sheba,שְׁבָא
DDN/,nmpr,Dedan,דְּדָן
NMRD/,nmpr,Nimrod,נִמְרֹד
YJD/,subs,hunting,צַיִד
MMLKT/,subs,kingdom,מַמְלֶכֶת
BBL/,nmpr,Babel,בָּבֶל
>RK===/,nmpr,Erech,אֶרֶךְ
>KD/,nmpr,Akkad,אַכַּד
KLNH/,nmpr,Calneh,כַּלְנֵה
CN<R/,nmpr,Shinar,שִׁנְעָר
NJNWH/,nmpr,Nineveh,נִינְוֵה
RXBT_<JR/,nmpr,Rehoboth Ir,רְחֹבֹת עִיר
KLX=/,nmpr,Calah,כֶּלַח
RSN=/,nmpr,Resen,רֶסֶן
LWDJM/,nmpr,Ludites,לוּדִים
<NMJM/,nmpr,Anamites,עֲנָמִים
LHBJM/,nmpr,Lehabites,לְהָבִים
NPTXJM/,nmpr,Naphtuhites,נַפְתֻּחִים
PTRSJM/,nmpr,Pathrusites,פַּתְרֻסִים
KSLXJM/,nmpr,Casluhites,כַּסְלֻחִים
PLCTJ/,adjv,Philistine,פְּלִשְׁתִּי
KPTRJ/,adjv,Caphtorite,כַּפְתֹּרִי
YJDWN/,nmpr,Sidon,צִידֹון
XT==/,nmpr,Heth,חֵת
JBWSJ/,adjv,Jebusite,יְבוּסִי
>MRJ/,adjv,Amorite,אֱמֹרִי
GRGCJ/,adjv,Girgashite,גִּרְגָּשִׁי
XWJ/,adjv,Hivite,חִוִּי
<RQJ/,adjv,Arkite,עַרְקִי
SJNJ/,adjv,Sinite,סִינִי
>RWDJ/,adjv,Arvadite,אַרְוָדִי
YMRJ/,adjv,Zemarite,צְמָרִי
XMTJ/,adjv,Hamathite,חֲמָתִי
PWY[,verb,disperse,פוץ
KN<NJ/,adjv,Canaanite,כְּנַעֲנִי
GBWL/,subs,boundary,גְּבוּל
GRR/,nmpr,Gerar,גְּרָר
<ZH/,nmpr,Gaza,עַזָּה
SDM/,nmpr,Sodom,סְדֹם
<MRH/,nmpr,Gomorrah,עֲמֹרָה
>DMH=/,nmpr,Admah,אַדְמָה
YB>JM/,nmpr,Zeboiim,צְבֹאיִם
LC</,nmpr,Lasha,לֶשַׁע
<BR=/,nmpr,Eber,עֵבֶר
<JLM/,nmpr,Elam,עֵילָם
>RPKCD/,nmpr,Arpachshad,אַרְפַּכְשָׁד
LWD/,nmpr,Lud,לוּד
>RM/,nmpr,Aram,אֲרָם
<WY/,nmpr,Uz,עוּץ
XWL==/,nmpr,Hul,חוּל
GTR/,nmpr,Gether,גֶּתֶר
MC/,nmpr,Meshech,מַשׁ
CLX==/,nmpr,Shelah,שֶׁלַח
PLG=/,nmpr,Peleg,פֶּלֶג
PLG[,verb,divide,פלג
JQVN/,nmpr,Joktan,יָקְטָן
>LMWDD/,nmpr,Almodad,אַלְמֹודָד
CLP/,nmpr,Sheleph,שֶׁלֶף
XYRMWT/,nmpr,Hazarmaveth,חֲצַרְמָוֶת
JRX==/,nmpr,Jerah,יֶרַח
HDWRM/,nmpr,Hadoram,הֲדֹורָם
>WZL/,nmpr,Uzal,אוּזָל
DQLH/,nmpr,Diklah,דִּקְלָה
<WBL/,nmpr,Obal,עֹובָל
>BJM>L/,nmpr,Abimael,אֲבִימָאֵל
>WPJR/,nmpr,<land of gold>,אֹופִיר
JWBB/,nmpr,Jobab,יֹובָב
MWCB/,subs,seat,מֹושָׁב
MC>=/,nmpr,Mesha,מֵשָׁא
SPR===/,nmpr,Sephar,סְפָר
FPH/,subs,lip,שָׂפָה
DBR/,subs,word,דָּבָר
NS<[,verb,pull out,נסע
BQ<H/,subs,valley,בִּקְעָה
R<=/,subs,fellow,רֵעַ
JHB[,verb,give,יהב
LBN=[,verb,make brick,לבן
LBNH/,subs,brick,לְבֵנָה
FRP[,verb,burn,שׂרף
FRPH/,subs,burning,שְׂרֵפָה
XMR==/,subs,bitumen,חֵמָר
XMR/,subs,clay,חֹמֶר
MGDL/,subs,tower,מִגְדָּל
JRD[,verb,descend,ירד
<M/,subs,people,עַם
BYR=[,verb,be impossible,בצר
ZMM[,verb,ponder,זמם
BLL[,verb,"moisten, confound",בלל
XDL[,verb,cease,חדל
R<W/,nmpr,Reu,רְעוּ
FRWG/,nmpr,Serug,שְׂרוּג
NXWR/,nmpr,Nahor,נָחֹור
TRX/,nmpr,Terah,תֶּרַח
>BRM/,nmpr,Abram,אַבְרָם
HRN/,nmpr,Haran,הָרָן
LWV=/,nmpr,Lot,לֹוט
MWLDT/,subs,offspring,מֹולֶדֶת
>WR===/,nmpr,Ur,אוּר
KFDJM/,nmpr,Chaldea,כַּשְׂדִּים
FRJ/,nmpr,Sarai,שָׂרַי
MLKH=/,nmpr,Milcah,מִלְכָּה
JSKH/,nmpr,Iscah,יִסְכָּה
<QR/,adjv,barren,עָקָר
WLD/,subs,child,וָלָד
KLH/,subs,bride,כַּלָּה
XRN/,nmpr,<town>,חָרָן
GDL[,verb,be strong,גדל
BRKH/,subs,blessing,בְּרָכָה
RKWC/,subs,property,רְכוּשׁ
RKC[,verb,gather,רכשׁ
CKM=/,nmpr,Shechem,שְׁכֶם
>LWN/,subs,big tree,אֵלֹון
MWRH===/,nmpr,Moreh,מֹורֶה
<TQ[,verb,advance,עתק
BJT_>L/,nmpr,Bethel,בֵּית אֵל
NVH[,verb,extend,נטה
<J=/,nmpr,Ai,עַי
NGB/,subs,south,נֶגֶב
R<B/,subs,hunger,רָעָב
GWR[,verb,dwell,גור
KBD/,adjv,heavy,כָּבֵד
QRB[,verb,approach,קרב
N>,intj,yeah,נָא
JPH/,adjv,beautiful,יָפֶה
>T=,prps,you,אַתְּ
MYRJ/,adjv,Egyptian,מִצְרִי
LM<N,prep,because of,לְמַעַן
GLL/,subs,matter,גָּלָל
FR/,subs,chief,שַׂר
PR<H/,subs,pharaoh,פַּרְעֹה
HLL[,verb,praise,הלל
BQR/,subs,cattle,בָּקָר
XMWR/,subs,he-ass,חֲמֹור
CPXH/,subs,maidservant,שִׁפְחָה
>TWN/,subs,she-ass,אָתֹון
GML/,subs,camel,גָּמָל
NG</,subs,stroke,נֶגַע
KSP/,subs,silver,כֶּסֶף
MS</,subs,breaking,מַסַּע
TXLH/,subs,beginning,תְּחִלָּה
JXDW,advb,together,יַחְדָּו
JKL[,verb,be able,יכל
RJB/,subs,law-case,רִיב
PRZJ/,adjv,Perizzite,פְּרִזִּי
>L=,nega,not,אַל
MRJBH/,subs,quarrel,מְרִיבָה
>NXNW,prps,we,אֲנַחְנוּ
FM>L/,subs,left-hand side,שְׂמֹאל
JMN[,verb,go to right,ימן
JMJN/,subs,right-hand side,יָמִין
FM>L[,verb,turn left,שׂמאל
KKR/,subs,disk,כִּכָּר
JRDN/,nmpr,Jordan,יַרְדֵּן
MCQH/,subs,"butler, irrigated, drink",מַשְׁקֶה
Y<R/,nmpr,Zoar,צֹעַר
>HL[,verb,pitch a tent,אהל
XV>=/,adjv,sinful,חַטָּא
YPWN/,subs,north,צָפֹון
MNH[,verb,count,מנה
MMR>=/,nmpr,Mamre,מַמְרֵא
XBRWN=/,nmpr,Hebron,חֶבְרֹון
>MRPL/,nmpr,Amraphel,אַמְרָפֶל
MLK/,subs,king,מֶלֶךְ
>RJWK/,nmpr,Arioch,אַרְיֹוךְ
>LSR/,nmpr,Ellasar,אֶלָּסָר
KDRL<MR/,nmpr,Kedorlaomer,כְּדָרְלָעֹמֶר
TD<L/,nmpr,Tidal,תִּדְעָל
GWJM/,nmpr,Goyim,גֹּויִם
MLXMH/,subs,war,מִלְחָמָה
BR</,nmpr,Bera,בֶּרַע
BRC</,nmpr,Birsha,בִּרְשַׁע
CN>B/,nmpr,Shinab,שִׁנְאָב
CM>BR/,nmpr,Shemeber,שֶׁמְאֵבֶר
BL<===/,nmpr,Bela,בֶּלַע
XBR[,verb,be united,חבר
<MQ/,subs,valley,עֵמֶק
FDJM/,nmpr,Siddim,שִׂדִּים
MLX/,subs,salt,מֶלַח
MRD[,verb,rebel,מרד
RP>JM=/,nmpr,Rephaim,רְפָאִים
<CTRT_QRNJM/,nmpr,Ashteroth Karnaim,עַשְׁתְּרֹת קַרְנַיִם
ZWZJ/,adjv,Zuzite,זוזי֜
HM/,nmpr,Ham,הָם
>JMJ/,adjv,Emite,אימי֜
CWH/,subs,plain,שָׁוֵה
QRJTJM/,nmpr,Kiriathaim,קִרְיָתָיִם
XRJ/,adjv,Horite,חֹרִי
F<JR====/,nmpr,Seir,שֵׂעִיר
>JL_P>RN/,nmpr,El Paran,אֵיל פָּארָן
MDBR/,subs,desert,מִדְבָּר
<JN_MCPV/,nmpr,En Mishpat,עֵין מִשְׁפָּט
